deportation	von	nach	nach_fct	deportation_alt	dep_datum	dep_date	deportation_date_exact	deportation_my	deportation_month	deportation_year
nach Auschwitz	NA	Auschwitz	Auschwitz	am 29.01.1943 nach Auschwitz	29.01.1943	29.01.1943	1943-01-29	1943-01-29	Jan	1943
von Moabit nach Auschwitz	Moabit 	Auschwitz	Auschwitz	am 02.03.1943 von Moabit nach Auschwitz	02.03.1943	02.03.1943	1943-03-02	1943-03-02	Mar	1943
von Moabit nach Auschwitz	Moabit 	Auschwitz	Auschwitz	am 02.03.1943 von Moabit nach Auschwitz	02.03.1943	02.03.1943	1943-03-02	1943-03-02	Mar	1943
nach Riga	NA	Riga	Riga	am 25.01.1942 nach Riga	25.01.1942	25.01.1942	1942-01-25	1942-01-25	Jan	1942
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
nach Buchenwald	NA	Buchenwald	Buchenwald	am 18.09.1943 nach Buchenwald	18.09.1943	18.09.1943	1943-09-18	1943-09-18	Sep	1943
nach Theresienstadt	NA	Theresienstadt	Theresienstadt	am 04.08.1943 nach Theresienstadt	04.08.1943	04.08.1943	1943-08-04	1943-08-04	Aug	1943
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
nach Theresienstadt	NA	Theresienstadt	Theresienstadt	am 10.01.1944 nach Theresienstadt	10.01.1944	10.01.1944	1944-01-10	1944-01-10	Jan	1944
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
nach Theresienstadt	NA	Theresienstadt	Theresienstadt	am 17.07.1942 nach Theresienstadt	17.07.1942	17.07.1942	1942-07-17	1942-07-17	Jul	1942
nach Raasiku	NA	Raasiku	Raasiku	am 26.09.1942 nach Raasiku	26.09.1942	26.09.1942	1942-09-26	1942-09-26	Sep	1942
nach Raasiku	NA	Raasiku	Raasiku	am 26.09.1942 nach Raasiku	26.09.1942	26.09.1942	1942-09-26	1942-09-26	Sep	1942
nach Auschwitz	NA	Auschwitz	Auschwitz	am 03.03.1943 nach Auschwitz	03.03.1943	03.03.1943	1943-03-03	1943-03-03	Mar	1943
nach Theresienstadt	NA	Theresienstadt	Theresienstadt	am 17.03.1943 nach Theresienstadt	17.03.1943	17.03.1943	1943-03-17	1943-03-17	Mar	1943
nach Theresienstadt	NA	Theresienstadt	Theresienstadt	am 17.03.1943 nach Theresienstadt	17.03.1943	17.03.1943	1943-03-17	1943-03-17	Mar	1943
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
nach Theresienstadt	NA	Theresienstadt	Theresienstadt	am 28.08.1942 nach Theresienstadt	28.08.1942	28.08.1942	1942-08-28	1942-08-28	Aug	1942
nach Theresienstadt	NA	Theresienstadt	Theresienstadt	am 17.03.1943 nach Theresienstadt	17.03.1943	17.03.1943	1943-03-17	1943-03-17	Mar	1943
nach Auschwitz	NA	Auschwitz	Auschwitz	am 19.02.1943 nach Auschwitz	19.02.1943	19.02.1943	1943-02-19	1943-02-19	Feb	1943
nach Auschwitz	NA	Auschwitz	Auschwitz	am 19.02.1943 nach Auschwitz	19.02.1943	19.02.1943	1943-02-19	1943-02-19	Feb	1943
nach Auschwitz	NA	Auschwitz	Auschwitz	am 19.02.1943 nach Auschwitz	19.02.1943	19.02.1943	1943-02-19	1943-02-19	Feb	1943
nach Theresienstadt	NA	Theresienstadt	Theresienstadt	am 10.09.1942 nach Theresienstadt	10.09.1942	10.09.1942	1942-09-10	1942-09-10	Sep	1942
nach Auschwitz	NA	Auschwitz	Auschwitz	am 12.01.1943 nach Auschwitz	12.01.1943	12.01.1943	1943-01-12	1943-01-12	Jan	1943
nach Auschwitz	NA	Auschwitz	Auschwitz	am 12.01.1943 nach Auschwitz	12.01.1943	12.01.1943	1943-01-12	1943-01-12	Jan	1943
nach Riga	NA	Riga	Riga	am 13.01.1942 nach Riga	13.01.1942	13.01.1942	1942-01-13	1942-01-13	Jan	1942
nach Riga	NA	Riga	Riga	am 13.01.1942 nach Riga	13.01.1942	13.01.1942	1942-01-13	1942-01-13	Jan	1942
von Drancy nach Auschwitz	Drancy 	Auschwitz	Auschwitz	am 09.09.1942 von Drancy nach Auschwitz	09.09.1942	09.09.1942	1942-09-09	1942-09-09	Sep	1942
nach Auschwitz	NA	Auschwitz	Auschwitz	am 06.03.1943 nach Auschwitz	06.03.1943	06.03.1943	1943-03-06	1943-03-06	Mar	1943
von Grunewald nach Łódź / Litzmannstadt	Grunewald 	Łódź / Litzmannstadt	Łódź / Litzmannstadt	am 01.11.1941 von Grunewald nach Łódź / Litzmannstadt	01.11.1941	01.11.1941	1941-11-01	1941-11-01	Nov	1941
nach Auschwitz	NA	Auschwitz	Auschwitz	am 01.03.1943 nach Auschwitz	01.03.1943	01.03.1943	1943-03-01	1943-03-01	Mar	1943
nach Auschwitz	NA	Auschwitz	Auschwitz	am 02.03.1943 nach Auschwitz	02.03.1943	02.03.1943	1943-03-02	1943-03-02	Mar	1943
von Drancy nach Auschwitz	Drancy 	Auschwitz	Auschwitz	am 12.08.1942 von Drancy nach Auschwitz	12.08.1942	12.08.1942	1942-08-12	1942-08-12	Aug	1942
nach Auschwitz	NA	Auschwitz	Auschwitz	am 03.03.1943 nach Auschwitz	03.03.1943	03.03.1943	1943-03-03	1943-03-03	Mar	1943
nach Theresienstadt	NA	Theresienstadt	Theresienstadt	am 24.09.1942 nach Theresienstadt	24.09.1942	24.09.1942	1942-09-24	1942-09-24	Sep	1942
nach Theresienstadt	NA	Theresienstadt	Theresienstadt	am 24.09.1942 nach Theresienstadt	24.09.1942	24.09.1942	1942-09-24	1942-09-24	Sep	1942
nach Riga	NA	Riga	Riga	am 19.01.1942 nach Riga	19.01.1942	19.01.1942	1942-01-19	1942-01-19	Jan	1942
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
nach Theresienstadt	NA	Theresienstadt	Theresienstadt	am 20.11.1942 nach Theresienstadt	20.11.1942	20.11.1942	1942-11-20	1942-11-20	Nov	1942
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
nach Theresienstadt	NA	Theresienstadt	Theresienstadt	am 25.09.1942 nach Theresienstadt	25.09.1942	25.09.1942	1942-09-25	1942-09-25	Sep	1942
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
nach Auschwitz	NA	Auschwitz	Auschwitz	am 06.03.1943 nach Auschwitz	06.03.1943	06.03.1943	1943-03-06	1943-03-06	Mar	1943
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
nach Auschwitz	NA	Auschwitz	Auschwitz	am 29.11.1942 nach Auschwitz	29.11.1942	29.11.1942	1942-11-29	1942-11-29	Nov	1942
nach Auschwitz	NA	Auschwitz	Auschwitz	am 26.02.1943 nach Auschwitz	26.02.1943	26.02.1943	1943-02-26	1943-02-26	Feb	1943
nach Auschwitz	NA	Auschwitz	Auschwitz	am 26.02.1943 nach Auschwitz	26.02.1943	26.02.1943	1943-02-26	1943-02-26	Feb	1943
von Berlin nach Łódź / Litzmannstadt	Berlin 	Łódź / Litzmannstadt	Łódź / Litzmannstadt	von Berlin nach Łódź / Litzmannstadt	NA	NA	NA	NA	NA	NA
nach Auschwitz	NA	Auschwitz	Auschwitz	am 12.01.1943 nach Auschwitz	12.01.1943	12.01.1943	1943-01-12	1943-01-12	Jan	1943
nach Auschwitz	NA	Auschwitz	Auschwitz	am 12.01.1943 nach Auschwitz	12.01.1943	12.01.1943	1943-01-12	1943-01-12	Jan	1943
nach Auschwitz	NA	Auschwitz	Auschwitz	am 12.01.1943 nach Auschwitz	12.01.1943	12.01.1943	1943-01-12	1943-01-12	Jan	1943
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
nach Auschwitz	NA	Auschwitz	Auschwitz	am 11.07.1942 nach Auschwitz	11.07.1942	11.07.1942	1942-07-11	1942-07-11	Jul	1942
nach Auschwitz	NA	Auschwitz	Auschwitz	am 11.07.1942 nach Auschwitz	11.07.1942	11.07.1942	1942-07-11	1942-07-11	Jul	1942
nach Auschwitz	NA	Auschwitz	Auschwitz	am 11.07.1942 nach Auschwitz	11.07.1942	11.07.1942	1942-07-11	1942-07-11	Jul	1942
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
nach Raasiku (b. Reval)	NA	Raasiku (b. Reval)	Raasiku	am 26.09.1942 nach Raasiku (b. Reval)	26.09.1942	26.09.1942	1942-09-26	1942-09-26	Sep	1942
nach Raasiku (b. Reval)	NA	Raasiku (b. Reval)	Raasiku	am 26.09.1942 nach Raasiku (b. Reval)	26.09.1942	26.09.1942	1942-09-26	1942-09-26	Sep	1942
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
nach Theresienstadt	NA	Theresienstadt	Theresienstadt	am 03.10.1942 nach Theresienstadt	03.10.1942	03.10.1942	1942-10-03	1942-10-03	Oct	1942
nach Theresienstadt	NA	Theresienstadt	Theresienstadt	am 16.06.1943 nach Theresienstadt	16.06.1943	16.06.1943	1943-06-16	1943-06-16	Jun	1943
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
nach Auschwitz	NA	Auschwitz	Auschwitz	am 12.03.1943 nach Auschwitz	12.03.1943	12.03.1943	1943-03-12	1943-03-12	Mar	1943
nach Auschwitz	NA	Auschwitz	Auschwitz	am 12.03.1943 nach Auschwitz	12.03.1943	12.03.1943	1943-03-12	1943-03-12	Mar	1943
nach Auschwitz	NA	Auschwitz	Auschwitz	am 12.03.1943 nach Auschwitz	12.03.1943	12.03.1943	1943-03-12	1943-03-12	Mar	1943
nach Auschwitz	NA	Auschwitz	Auschwitz	am 02.03.1943 nach Auschwitz	02.03.1943	02.03.1943	1943-03-02	1943-03-02	Mar	1943
	NA	NA	NA	am 19.01.1942	19.01.1942	19.01.1942	1942-01-19	1942-01-19	Jan	1942
nach Theresienstadt	NA	Theresienstadt	Theresienstadt	am 22.09.1942 nach Theresienstadt	22.09.1942	22.09.1942	1942-09-22	1942-09-22	Sep	1942
nach Auschwitz	NA	Auschwitz	Auschwitz	am 26.02.1943 nach Auschwitz	26.02.1943	26.02.1943	1943-02-26	1943-02-26	Feb	1943
nach Theresienstadt	NA	Theresienstadt	Theresienstadt	am 16.06.1943 nach Theresienstadt	16.06.1943	16.06.1943	1943-06-16	1943-06-16	Jun	1943
nach Theresienstadt	NA	Theresienstadt	Theresienstadt	am 08.07.1942 nach Theresienstadt	08.07.1942	08.07.1942	1942-07-08	1942-07-08	Jul	1942
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
nach Auschwitz	NA	Auschwitz	Auschwitz	am 03.03.1943 nach Auschwitz	03.03.1943	03.03.1943	1943-03-03	1943-03-03	Mar	1943
nach Theresienstadt	NA	Theresienstadt	Theresienstadt	am 11.08.1942 nach Theresienstadt	11.08.1942	11.08.1942	1942-08-11	1942-08-11	Aug	1942
nach Warschau	NA	Warschau	Warschau	am 02.04.1942 nach Warschau	02.04.1942	02.04.1942	1942-04-02	1942-04-02	Apr	1942
nach Auschwitz	NA	Auschwitz	Auschwitz	am 03.03.1943 nach Auschwitz	03.03.1943	03.03.1943	1943-03-03	1943-03-03	Mar	1943
nach Theresienstadt	NA	Theresienstadt	Theresienstadt	am 31.08.1942 nach Theresienstadt	31.08.1942	31.08.1942	1942-08-31	1942-08-31	Aug	1942
nach Theresienstadt	NA	Theresienstadt	Theresienstadt	am 31.08.1942 nach Theresienstadt	31.08.1942	31.08.1942	1942-08-31	1942-08-31	Aug	1942
nach Auschwitz	NA	Auschwitz	Auschwitz	am 19.02.1943 nach Auschwitz	19.02.1943	19.02.1943	1943-02-19	1943-02-19	Feb	1943
nach Auschwitz	NA	Auschwitz	Auschwitz	am 19.02.1943 nach Auschwitz	19.02.1943	19.02.1943	1943-02-19	1943-02-19	Feb	1943
nach Auschwitz	NA	Auschwitz	Auschwitz	am 19.02.1943 nach Auschwitz	19.02.1943	19.02.1943	1943-02-19	1943-02-19	Feb	1943
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
von Berlin Weißensee, Parkstr.22 nach Theresienstadt	Berlin Weißensee, Parkstr.22 	Theresienstadt	Theresienstadt	am 14.09.1942 von Berlin Weißensee, Parkstr.22 nach Theresienstadt	14.09.1942	14.09.1942	1942-09-14	1942-09-14	Sep	1942
nach Auschwitz	NA	Auschwitz	Auschwitz	am 14.12.1942 nach Auschwitz	14.12.1942	14.12.1942	1942-12-14	1942-12-14	Dec	1942
nach Auschwitz	NA	Auschwitz	Auschwitz	am 14.12.1942 nach Auschwitz	14.12.1942	14.12.1942	1942-12-14	1942-12-14	Dec	1942
von Mechelen / Mecheln nach Auschwitz	Mechelen / Mecheln 	Auschwitz	Auschwitz	am 26.09.1942 von Mechelen / Mecheln nach Auschwitz	26.09.1942	26.09.1942	1942-09-26	1942-09-26	Sep	1942
nach Theresienstadt	NA	Theresienstadt	Theresienstadt	am 31.08.1942 nach Theresienstadt	31.08.1942	31.08.1942	1942-08-31	1942-08-31	Aug	1942
nach Auschwitz	NA	Auschwitz	Auschwitz	am 01.03.1943 nach Auschwitz	01.03.1943	01.03.1943	1943-03-01	1943-03-01	Mar	1943
von Berlin nach Auschwitz	Berlin 	Auschwitz	Auschwitz	am 03.03.1943 von Berlin nach Auschwitz	03.03.1943	03.03.1943	1943-03-03	1943-03-03	Mar	1943
nach unbekannten Deportationsort	NA	unbekannten Deportationsort	Unknown	im Jahre 1943 nach unbekannten Deportationsort	1943	1943	NA	NA	NA	1943
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
nach Auschwitz	NA	Auschwitz	Auschwitz	am 15.06.1944 nach Auschwitz	15.06.1944	15.06.1944	1944-06-15	1944-06-15	Jun	1944
von Sachsenhausen nach Auschwitz	Sachsenhausen 	Auschwitz	Auschwitz	im Oktober 1942 von Sachsenhausen nach Auschwitz	Oktober 1942	Oct 1942	NA	1942-10-01	Oct	1942
nach Auschwitz	NA	Auschwitz	Auschwitz	am 15.06.1944 nach Auschwitz	15.06.1944	15.06.1944	1944-06-15	1944-06-15	Jun	1944
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
nach Ghetto Bendzin-Bendsburg / Będzin	NA	Ghetto Bendzin-Bendsburg / Będzin	Ghetto Bedzin-Bendsburg / Będzin	nach Ghetto Bendzin-Bendsburg / Będzin	NA	NA	NA	NA	NA	NA
nach Ghetto Bedzin-Bendsburg / Będzin	NA	Ghetto Bedzin-Bendsburg / Będzin	Ghetto Bedzin-Bendsburg / Będzin	nach Ghetto Bedzin-Bendsburg / Będzin	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
nach Riga	NA	Riga	Riga	am 27.11.1941 nach Riga	27.11.1941	27.11.1941	1941-11-27	1941-11-27	Nov	1941
nach Theresienstadt	NA	Theresienstadt	Theresienstadt	am 28.07.1942 nach Theresienstadt	28.07.1942	28.07.1942	1942-07-28	1942-07-28	Jul	1942
nach Theresienstadt	NA	Theresienstadt	Theresienstadt	am 28.07.1942 nach Theresienstadt	28.07.1942	28.07.1942	1942-07-28	1942-07-28	Jul	1942
nach Łódź / Litzmannstadt	NA	Łódź / Litzmannstadt	Łódź / Litzmannstadt	am 18.10.1941 nach Łódź / Litzmannstadt	18.10.1941	18.10.1941	1941-10-18	1941-10-18	Oct	1941
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
nach Auschwitz	NA	Auschwitz	Auschwitz	am 09.12.1942 nach Auschwitz	09.12.1942	09.12.1942	1942-12-09	1942-12-09	Dec	1942
nach Auschwitz	NA	Auschwitz	Auschwitz	am 12.03.1943 nach Auschwitz	12.03.1943	12.03.1943	1943-03-12	1943-03-12	Mar	1943
nach Riga	NA	Riga	Riga	am 15.08.1942 nach Riga	15.08.1942	15.08.1942	1942-08-15	1942-08-15	Aug	1942
nach Auschwitz	NA	Auschwitz	Auschwitz	am 05.01.1944 nach Auschwitz	05.01.1944	05.01.1944	1944-01-05	1944-01-05	Jan	1944
nach Theresienstadt	NA	Theresienstadt	Theresienstadt	am 16.06.1943 nach Theresienstadt	16.06.1943	16.06.1943	1943-06-16	1943-06-16	Jun	1943
von Putlitzstraße nach Auschwitz	Putlitzstraße 	Auschwitz	Auschwitz	am 19.04.1943 von Putlitzstraße nach Auschwitz	19.04.1943	19.04.1943	1943-04-19	1943-04-19	Apr	1943
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
nach Auschwitz	NA	Auschwitz	Auschwitz	am 01.03.1943 nach Auschwitz	01.03.1943	01.03.1943	1943-03-01	1943-03-01	Mar	1943
nach Auschwitz	NA	Auschwitz	Auschwitz	am 12.03.1943 nach Auschwitz	12.03.1943	12.03.1943	1943-03-12	1943-03-12	Mar	1943
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
nach Auschwitz	NA	Auschwitz	Auschwitz	am 01.03.1943 nach Auschwitz	01.03.1943	01.03.1943	1943-03-01	1943-03-01	Mar	1943
von Berlin nach Hadamar	Berlin 	Hadamar	Hadamar	am 23.03.1944 von Berlin nach Hadamar	23.03.1944	23.03.1944	1944-03-23	1944-03-23	Mar	1944
nach Riga	NA	Riga	Riga	am 19.01.1942 nach Riga	19.01.1942	19.01.1942	1942-01-19	1942-01-19	Jan	1942
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
von Berlin nach Trawniki	Berlin 	Trawniki	Trawniki	am 02.04.1942 von Berlin nach Trawniki	02.04.1942	02.04.1942	1942-04-02	1942-04-02	Apr	1942
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
von Westerbork (Niederlande) nach Theriesienstadt	Westerbork (Niederlande) 	Theriesienstadt	Theresienstadt	im Jahre 1941 von Westerbork (Niederlande) nach Theriesienstadt	1941	1941	NA	NA	NA	1941
nach Auschwitz	NA	Auschwitz	Auschwitz	im Jahre 1941 nach Auschwitz	1941	1941	NA	NA	NA	1941
nach Riga	NA	Riga	Riga	am 26.10.1942 nach Riga	26.10.1942	26.10.1942	1942-10-26	1942-10-26	Oct	1942
nach Riga	NA	Riga	Riga	am 26.10.1942 nach Riga	26.10.1942	26.10.1942	1942-10-26	1942-10-26	Oct	1942
von Drancy, Internierungslager nach Auschwitz	Drancy, Internierungslager 	Auschwitz	Auschwitz	am 25.09.1942 von Drancy, Internierungslager nach Auschwitz	25.09.1942	25.09.1942	1942-09-25	1942-09-25	Sep	1942
nach Łódź / Litzmannstadt	NA	Łódź / Litzmannstadt	Łódź / Litzmannstadt	am 29.10.1941 nach Łódź / Litzmannstadt	29.10.1941	29.10.1941	1941-10-29	1941-10-29	Oct	1941
nach Riga	NA	Riga	Riga	am 25.01.1942 nach Riga	25.01.1942	25.01.1942	1942-01-25	1942-01-25	Jan	1942
nach Theresienstadt	NA	Theresienstadt	Theresienstadt	am 31.08.1942 nach Theresienstadt	31.08.1942	31.08.1942	1942-08-31	1942-08-31	Aug	1942
nach Theresienstadt	NA	Theresienstadt	Theresienstadt	am 31.08.1942 nach Theresienstadt	31.08.1942	31.08.1942	1942-08-31	1942-08-31	Aug	1942
von Internierungslager Drancy nach Auschwitz	Internierungslager Drancy 	Auschwitz	Auschwitz	am 25.09.1942 von Internierungslager Drancy nach Auschwitz	25.09.1942	25.09.1942	1942-09-25	1942-09-25	Sep	1942
nach Auschwitz	NA	Auschwitz	Auschwitz	am 03.03.1943 nach Auschwitz	03.03.1943	03.03.1943	1943-03-03	1943-03-03	Mar	1943
nach Sachsenhausen	NA	Sachsenhausen	Sachsenhausen	am 27.05.1942 nach Sachsenhausen	27.05.1942	27.05.1942	1942-05-27	1942-05-27	May	1942
nach Auschwitz	NA	Auschwitz	Auschwitz	am 03.03.1943 nach Auschwitz	03.03.1943	03.03.1943	1943-03-03	1943-03-03	Mar	1943
nach Auschwitz	NA	Auschwitz	Auschwitz	am 10.12.1942 nach Auschwitz	10.12.1942	10.12.1942	1942-12-10	1942-12-10	Dec	1942
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
nach Auschwitz	NA	Auschwitz	Auschwitz	am 28.06.1943 nach Auschwitz	28.06.1943	28.06.1943	1943-06-28	1943-06-28	Jun	1943
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
nach Sachsenhausen	NA	Sachsenhausen	Sachsenhausen	am 13.09.1939 nach Sachsenhausen	13.09.1939	13.09.1939	1939-09-13	1939-09-13	Sep	1939
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
nach Auschwitz	NA	Auschwitz	Auschwitz	am 14.12.1942 nach Auschwitz	14.12.1942	14.12.1942	1942-12-14	1942-12-14	Dec	1942
nach Auschwitz	NA	Auschwitz	Auschwitz	am 14.12.1942 nach Auschwitz	14.12.1942	14.12.1942	1942-12-14	1942-12-14	Dec	1942
nach Auschwitz	NA	Auschwitz	Auschwitz	am 14.12.1942 nach Auschwitz	14.12.1942	14.12.1942	1942-12-14	1942-12-14	Dec	1942
nach Auschwitz	NA	Auschwitz	Auschwitz	am 14.12.1942 nach Auschwitz	14.12.1942	14.12.1942	1942-12-14	1942-12-14	Dec	1942
nach Łódź / Litzmannstadt	NA	Łódź / Litzmannstadt	Łódź / Litzmannstadt	am 01.11.1941 nach Łódź / Litzmannstadt	01.11.1941	01.11.1941	1941-11-01	1941-11-01	Nov	1941
nach Riga	NA	Riga	Riga	am 25.01.1942 nach Riga	25.01.1942	25.01.1942	1942-01-25	1942-01-25	Jan	1942
nach Riga	NA	Riga	Riga	am 25.01.1942 nach Riga	25.01.1942	25.01.1942	1942-01-25	1942-01-25	Jan	1942
nach Auschwitz	NA	Auschwitz	Auschwitz	am 26.02.1943 nach Auschwitz	26.02.1943	26.02.1943	1943-02-26	1943-02-26	Feb	1943
nach Riga	NA	Riga	Riga	am 13.01.1942 nach Riga	13.01.1942	13.01.1942	1942-01-13	1942-01-13	Jan	1942
nach Auschwitz	NA	Auschwitz	Auschwitz	am 02.03.1943 nach Auschwitz	02.03.1943	02.03.1943	1943-03-02	1943-03-02	Mar	1943
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
nach Riga	NA	Riga	Riga	am 19.01.1942 nach Riga	19.01.1942	19.01.1942	1942-01-19	1942-01-19	Jan	1942
nach Riga	NA	Riga	Riga	am 19.01.1942 nach Riga	19.01.1942	19.01.1942	1942-01-19	1942-01-19	Jan	1942
von Moabit nach Auschwitz	Moabit 	Auschwitz	Auschwitz	am 06.03.1943 von Moabit nach Auschwitz	06.03.1943	06.03.1943	1943-03-06	1943-03-06	Mar	1943
von Westerbork nach Auschwitz	Westerbork 	Auschwitz	Auschwitz	im Jahre 1942 von Westerbork nach Auschwitz	1942	1942	NA	NA	NA	1942
von Berlin nach Auschwitz	Berlin 	Auschwitz	Auschwitz	am 01.03.1943 von Berlin nach Auschwitz	01.03.1943	01.03.1943	1943-03-01	1943-03-01	Mar	1943
nach Minsk	NA	Minsk	Minsk	am 26.06.1942 nach Minsk	26.06.1942	26.06.1942	1942-06-26	1942-06-26	Jun	1942
nach Warschau	NA	Warschau	Warschau	nach Warschau	NA	NA	NA	NA	NA	NA
nach Auschwitz	NA	Auschwitz	Auschwitz	am 29.11.1942 nach Auschwitz	29.11.1942	29.11.1942	1942-11-29	1942-11-29	Nov	1942
nach Auschwitz	NA	Auschwitz	Auschwitz	am 26.02.1943 nach Auschwitz	26.02.1943	26.02.1943	1943-02-26	1943-02-26	Feb	1943
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
nach Sobibór	NA	Sobibór	Sobibór	am 13.06.1942 nach Sobibór	13.06.1942	13.06.1942	1942-06-13	1942-06-13	Jun	1942
nach Auschwitz	NA	Auschwitz	Auschwitz	am 03.03.1943 nach Auschwitz	03.03.1943	03.03.1943	1943-03-03	1943-03-03	Mar	1943
nach Auschwitz	NA	Auschwitz	Auschwitz	am 03.03.1943 nach Auschwitz	03.03.1943	03.03.1943	1943-03-03	1943-03-03	Mar	1943
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
nach Auschwitz	NA	Auschwitz	Auschwitz	am 12.03.1943 nach Auschwitz	12.03.1943	12.03.1943	1943-03-12	1943-03-12	Mar	1943
nach Auschwitz	NA	Auschwitz	Auschwitz	am 12.03.1943 nach Auschwitz	12.03.1943	12.03.1943	1943-03-12	1943-03-12	Mar	1943
nach Auschwitz	NA	Auschwitz	Auschwitz	am 03.03.1943 nach Auschwitz	03.03.1943	03.03.1943	1943-03-03	1943-03-03	Mar	1943
nach Auschwitz	NA	Auschwitz	Auschwitz	am 01.03.1943 nach Auschwitz	01.03.1943	01.03.1943	1943-03-01	1943-03-01	Mar	1943
nach Auschwitz	NA	Auschwitz	Auschwitz	am 03.03.1943 nach Auschwitz	03.03.1943	03.03.1943	1943-03-03	1943-03-03	Mar	1943
nach Sobibór	NA	Sobibór	Sobibór	am 13.06.1942 nach Sobibór	13.06.1942	13.06.1942	1942-06-13	1942-06-13	Jun	1942
nach Majdanek	NA	Majdanek	Majdanek	am 13.06.1942 nach Majdanek	13.06.1942	13.06.1942	1942-06-13	1942-06-13	Jun	1942
nach Sobibór	NA	Sobibór	Sobibór	am 13.06.1942 nach Sobibór	13.06.1942	13.06.1942	1942-06-13	1942-06-13	Jun	1942
nach Sobibór	NA	Sobibór	Sobibór	am 13.06.1942 nach Sobibór	13.06.1942	13.06.1942	1942-06-13	1942-06-13	Jun	1942
nach Sobibór	NA	Sobibór	Sobibór	am 13.06.1942 nach Sobibór	13.06.1942	13.06.1942	1942-06-13	1942-06-13	Jun	1942
nach Sobibór	NA	Sobibór	Sobibór	am 13.06.1942 nach Sobibór	13.06.1942	13.06.1942	1942-06-13	1942-06-13	Jun	1942
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
